variants,SampleType,Animal,kidney,liver,lung,input_norm
cN040,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN041,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN042,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN043,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN044,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN045,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN046,gDNA,m1,0.3697480347007654,1035295.53245664,891850.5248056808,2.2447719043908196e-05
cN047,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN048,gDNA,m1,369748.4044488001,2070590.0296187834,445925.48536536004,2.2447719043908196e-05
cN049,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN050,gDNA,m1,369748.4044488001,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN051,gDNA,m1,361634.1156220499,1010119.3065833718,425471.8055345356,0.11354044940608599
cN052,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN053,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN054,gDNA,m1,369748.4044488001,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN055,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN056,gDNA,m1,369748.4044488001,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN057,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN058,gDNA,m1,123249.55031588473,345098.7408844772,148641.92754963928,6.73431122363314e-05
cN059,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN060,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN061,gDNA,m1,369748.4044488001,1035295.53245664,891850.5248056808,2.2447719043908196e-05
cN062,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN063,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN064,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN065,gDNA,m1,369748.4044488001,1035295.53245664,1114813.3789694533,4.4895415640119805e-05
cN066,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN067,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN068,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN069,gDNA,m1,739497178646.0048,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN070,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN071,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN072,gDNA,m1,415966.94922758196,517647.8309342828,111481.41314684907,0.0001795815952173894
cN073,gDNA,m1,554622.5142361452,0.5176475074045663,0.22296263120136442,4.4895415640119805e-05
cN074,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN075,gDNA,m1,369748.4044488001,0.5176475074045663,222962.8541639956,4.4895415640119805e-05
cN076,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN077,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN078,gDNA,m1,184874.29466145491,517648.0250520737,222962.8541639956,4.4895415640119805e-05
cN079,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN080,gDNA,m1,739497178646.0048,2070592100208.813,1337776902021.5657,2.2447696596211602e-11
cN081,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN082,gDNA,m1,0.3697480347007654,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN083,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN084,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN085,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN086,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN087,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN088,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN089,gDNA,m1,369748.4044488001,1.035294497162143,1337775.5642460017,2.2447719043908196e-05
cN090,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN091,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN092,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN093,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN094,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN095,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN096,gDNA,m1,1109245583094.8047,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN097,gDNA,m1,369748.4044488001,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN098,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN099,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN100,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN101,gDNA,m1,924370.7338108355,2070590.5472657727,445925.48536536004,4.4895415640119805e-05
cN102,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN103,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN104,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN105,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN106,gDNA,m1,369748.4044488001,1035295.53245664,891851416656.2057,2.2447696596211602e-11
cN107,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN108,gDNA,m1,0.3697480347007654,1.035294497162143,1337775.5642460017,2.2447719043908196e-05
cN109,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN110,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN111,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN112,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN113,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN114,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN115,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN116,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN117,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN118,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN119,gDNA,m1,0.3697480347007654,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN120,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN121,gDNA,m1,369748.4044488001,517648.0250520737,445925.48536536004,4.4895415640119805e-05
cN122,gDNA,m1,369748.4044488001,1.035294497162143,891850.5248056808,2.2447719043908196e-05
cN123,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN124,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN125,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN126,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN127,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN128,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN129,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN130,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN131,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN132,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN133,gDNA,m1,0.3697480347007654,1035295.53245664,445925.48536536004,2.2447719043908196e-05
cN134,gDNA,m1,1478992.5085510965,1.035294497162143,1783700.6036863222,2.2447719043908196e-05
cN135,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN136,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN137,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN138,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN139,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN140,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN141,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN142,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN143,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN144,gDNA,m1,0.12324942706645767,345098.7408844772,0.14864177890786037,6.73431122363314e-05
cN145,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN146,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN147,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN148,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN149,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN150,gDNA,m1,0.3697480347007654,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN151,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN152,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN153,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN154,gDNA,m1,369748.4044488001,2070592100208.813,891851416656.2057,2.2447696596211602e-11
cN155,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN156,gDNA,m1,0.3697480347007654,1.035294497162143,445925.48536536004,2.2447719043908196e-05
cN157,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN158,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN159,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN160,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN161,gDNA,m1,369748.4044488001,2070592100208.813,445925931290.8454,2.2447696596211602e-11
cN162,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN163,gDNA,m1,184874.24844293905,1035295.53245664,557406.8288363642,8.979080883254301e-05
cN164,gDNA,m1,369748774197.2045,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN165,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN166,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN167,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN168,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN169,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN170,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN171,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN172,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN173,gDNA,m1,369748774197.2045,2070592100208.813,445925.48536536004,2.2447696596211602e-11
cN174,gDNA,m1,369748.4044488001,1035296567752.1725,891851416656.2057,2.2447696596211602e-11
cN175,gDNA,m1,739497178646.0048,3105887632665.453,445925.48536536004,2.2447696596211602e-11
cN176,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN177,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN178,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN179,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN180,gDNA,m1,369748.4044488001,1294119.3508648456,557406.8288363642,8.979080883254301e-05
cN181,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN182,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN183,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN184,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN185,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN186,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN187,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN188,gDNA,m1,370800.0042210647,1043714.2551405161,448765.661305524,0.5603842978502741
cN189,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN190,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447719043908196e-05
cN191,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN192,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN193,gDNA,m1,369748.4044488001,1035295.53245664,891851416656.2057,2.2447696596211602e-11
cN194,gDNA,m1,0.18487410978734514,0.5176475074045663,668888.1165667245,4.4895415640119805e-05
cN195,gDNA,m1,369748.4044488001,0.5176475074045663,222962.8541639956,4.4895415640119805e-05
cN196,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN197,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN198,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN199,gDNA,m1,369748774197.2045,2070592100208.813,445925.48536536004,2.2447696596211602e-11
cN200,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN201,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN202,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN203,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN204,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN205,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN206,gDNA,m1,369748.4044488001,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN207,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN208,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN209,gDNA,m1,924370.7338108355,2070590.5472657727,1114813.3789694533,4.4895415640119805e-05
cN210,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN211,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN212,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN213,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN214,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN215,gDNA,m1,369748774197.2045,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN216,gDNA,m1,369748.4044488001,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN217,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN218,gDNA,m1,369748774197.2045,2070592100208.813,445925.48536536004,2.2447696596211602e-11
cN219,gDNA,m1,369748.4044488001,1035295.53245664,1337776902021.5657,2.2447696596211602e-11
cN220,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN221,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN222,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN223,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN224,gDNA,m1,0.3697480347007654,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN225,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN226,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN227,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN228,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN229,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN230,gDNA,m1,369748.4044488001,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN231,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN232,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN233,gDNA,m1,1109244.473850331,2070590.0296187834,0.44592503944032064,2.2447719043908196e-05
cN234,gDNA,m1,0.3697480347007654,1035295.53245664,891850.5248056808,2.2447719043908196e-05
cN235,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN236,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN237,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN238,gDNA,m1,0.3697480347007654,2070590.0296187834,0.44592503944032064,2.2447719043908196e-05
cN239,gDNA,m1,739497178646.0048,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN240,gDNA,m1,0.3697480347007654,3105884.5267809266,2675550.6825669636,2.2447719043908196e-05
cN241,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN242,gDNA,m1,369748.4044488001,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN243,gDNA,m1,369748774197.2045,1035296567752.1725,891851416656.2057,2.2447696596211602e-11
cN244,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN245,gDNA,m1,369748.4044488001,1035295.53245664,891851416656.2057,2.2447696596211602e-11
cN246,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN247,gDNA,m1,92437.17044000851,776471.7140484346,557406.8288363642,8.979080883254301e-05
cN248,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN249,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN250,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN251,gDNA,m1,369748.4044488001,2070592100208.813,445925931290.8454,2.2447696596211602e-11
cN252,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN253,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN254,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN255,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN256,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN257,gDNA,m1,369748.4044488001,1035296567752.1725,445925931290.8454,2.2447696596211602e-11
cN258,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN259,gDNA,m1,369748.4044488001,2070592100208.813,445925.48536536004,2.2447696596211602e-11
cN260,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN261,gDNA,m1,369748.4044488001,1552943.0398612064,445925.48536536004,4.4895415640119805e-05
cN262,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN263,gDNA,m1,371726.46697366214,1020665.3341595472,446915.73071481474,0.22238933020111606
cN264,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN265,gDNA,m1,369748.4044488001,3105884.5267809266,3121475.7220072844,2.2447719043908196e-05
cN266,gDNA,m1,369748.4044488001,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN267,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN268,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN269,gDNA,m1,369748774197.2045,1035296567752.1725,891851416656.2057,2.2447696596211602e-11
cN270,gDNA,m1,0.3697480347007654,1035295.53245664,1337775.5642460017,2.2447719043908196e-05
cN271,gDNA,m1,184874.29466145491,0.5176475074045663,0.22296263120136442,4.4895415640119805e-05
cN272,gDNA,m1,0.3697480347007654,1.035294497162143,0.44592503944032064,2.2447719043908196e-05
cN273,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN274,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN275,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN276,gDNA,m1,0.18487410978734514,1552943.0398612064,0.22296263120136442,4.4895415640119805e-05
cN277,gDNA,m1,0.18487410978734514,0.5176475074045663,0.22296263120136442,4.4895415640119805e-05
cN278,gDNA,m1,369748774197.2045,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN279,gDNA,m1,369748774197.2045,1035296567752.1725,445925.48536536004,2.2447696596211602e-11
cN280,gDNA,m1,739496.4391495656,1035295.53245664,0.44592503944032064,2.2447719043908196e-05
cN281,gDNA,m1,369748.4044488001,1035295.53245664,445925.48536536004,2.2447696596211602e-11
cN282,gDNA,m1,369748774197.2045,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN283,gDNA,m1,369748774197.2045,1035295.53245664,445925931290.8454,2.2447696596211602e-11
cN284,gDNA,m1,739496.4391495656,2070590.0296187834,445925.48536536004,2.2447719043908196e-05
